"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"1852","en","Children's Grand Park","https://english.visitseoul.net/nature/Childrens-Grand-Park/ENP001852?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001852","143-847 18, Neung-dong, Gwangjin-gu, Seoul "," 04991 216, Neungdong-ro, Gwangjin-gu, Seoul ","+82-2-450-9311","http://www.sisul.or.kr/global/main/en/sub/park.jsp","Daily 05:00 - 22:00 * Zoo: 9:30 - 17:00 (Hours may vary due to weather conditions)","","","* Subway Line 7, Children’s Grand Park Station, Exit 1 (5 mins on foot) * Subway Line 5, Achasan Station, Exit 4 (5 mins on foot) * Subway Line 2 & 7, Konkuk University Station, Exit 3 (15 mins on foot) "
"1839","en","Seoul Forest","https://english.visitseoul.net/nature/Seoul-Forest/ENP001838?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001838","133-111 685-20, Seongsu 1(il)-ga, Seongdong-gu, Seoul ","133-111 273, Ttukseom-ro, Seongdong-gu, Seoul (Seongsu-dong 1(il)-ga, Dongbu Parks & Recreation Center) ","+82-2-460-2905","https://parks.seoul.go.kr/","Seoul Forest is open 24 hours (some facilities have restricted operating hours): - Ecological Forest: 05:30-21:30 KST(Ecological Conservation Area) - Insect Plant Garden: 10:00-17:00 KST (Closed every Monday) - Butterfly Garden: 10:00-17:00 KST (Closed on Mondays from May to October) - Ecol Learning Center: Open during program operation - Ground Fountains: Operate from May to September (Regular maintenance on Mondays)   - May, June, September: 4 sessions (1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM), 30 minutes each   - July, August: 5 sessions (12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM), 30 minutes each - Lake Fountain: 2 sessions on weekdays (11:00-13:00, 15:00-16:00 KST), 1 session on holidays (13:00-16:00 KST) - Visitor Center: 09:00-18:00 KST (Open all year) / Winter season: 10:00-17:00 (November to February) - Wheelchairs, strollers, walking aids rental: Up to 2 hours free rental (※ ID required) - Community Center: Open during program and exhibition operation.","","","* Subway Line 2, Ttukseom Station, Exit 8 (15 mins on foot) * Bundang Line, Seoul Forest Station, Exits 3 & 4 (5 mins on foot)"
"23492","zh-CN","首??公?","https://chinese.visitseoul.net/nature/首??公?/CNP023466?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP023466","121-889 首? 麻浦?望?洞 205-5 ","03954 首?麻浦?麻浦渡口街 407 (望?洞) ","+82-2-332-7500","http://hangang.seoul.go.kr","夏季(3~10月) : 10:00~20:00 冬季(11~2月) : 10:00~17:00","每周二~周日","周一、元旦、春?、中秋?天休息","2?? 新村站、弘大入口站（社?巴士9?）?乘后在望??洪?下?，步行10分? 6?? 望?站（社?巴士9?）?乘后在望??洪?下?，步行10分? 6?? 合井站(社?巴士16?) ?乘后在望??洪?下?，步行10分?"
"2302","ko","불광천 해담는다리","https://korean.visitseoul.net/nature/불광천-해담는다리/KOP002300?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002300"," 서울 서대문구 북가좌동 345-1 해담는다리","03680 서울 서대문구 불광천길 156 ","02-120","http://www.sdm.go.kr","","","","6호선 증산 2번 출구 도보 5분 "
"2301","en","Bulgwangcheon Haedamneundari Bridge","https://english.visitseoul.net/nature/Bulgwangcheon-Haedamneundari-Bridge/ENP002300?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP002300","120-132 Bukgajwa 2(i)-dong, Seodaemun-gu, Seoul ","03680 156, Bulgwangcheon-gil, Seodaemun-gu, Seoul ","+82-2-120","http://www.sdm.go.kr/en/eng/main/index.jsp","","","","Subway Line 6, Jeungsan Station, Exit 2 (5 mins on foot) "
"24233","zh-CN","文化??基地","https://chinese.visitseoul.net/nature/文化??基地/CNP023543?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP023543","121-250 首?麻浦?城山洞661 ","03914 首?麻浦??山路87(城山洞) ","+82-2-376-8410","http://parks.seoul.go.kr/template/sub/culturetank.do","?油罐-10:00~18:00","公?-全年无休，常年?放","周一(大罐)","6?? 世界杯?育?站2?3?出口"
"16351","ja","プガクサン(北岳山)夜景","https://japanese.visitseoul.net/nature/bugaksan-mountain-at-night-jp/JPP016324?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016324"," 6-17, mountain, Pyeongchang-dong, Jongno-gu, Seoul, Korea ","03010 267, Bugaksan-ro, Jongno-gu, Seoul, Korea (평창동, 북악팔각정) ","","","3月?10月 9:00?16:00 11月?2月 10:00?15:00 ※ 3月?10月までは午後6時、11月?2月までは午後5時までに下山する必要があります。","","月曜日(月曜日が祝日の場合は火曜日)",""
"706","zh-CN","仙游?公?","https://chinese.visitseoul.net/nature/仙游?公?/CNP000378?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP000378","150-040 首?市永登浦?堂山洞 1 ","07200 首?市永登浦?仙遊路343 ","+82-2-2634-7250","http://parks.seoul.go.kr/template/sub/seonyudo.do","06:00~12:00","周一~周日","","9?? 仙游?站2?出口 700米   "
"3602","zh-TW","道峰山","https://tchinese.visitseoul.net/nature/道峰山-도봉산/TCP003598?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP003598","132-010 首爾市道峰區道峰洞、 京畿議政府市，楊州市長興面一帶","132-010  ","+82-2-954-2566","https://tour.dobong.go.kr/Contents.asp?code=10006251","07:30 ~ 18:00（3月至10月） 08:00 ~ 17:00（11月至2月 ）","每日","全年無休","1、7號線道峰山站1號出口步行10分鐘"
"3600","ja","トボンサン(道峰山)","https://japanese.visitseoul.net/nature/トボンサン-道峰山/JPP003598?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP003598","132-010 ソウル市道峰?道峰洞、京幾道議政府市 楊州市長興面一?","132-010  ","+82-2-954-2566","https://tour.dobong.go.kr/Contents.asp?code=10006251"," 7：30?18：00 (3月?10月) 8：00?17：00 (11月?2月) ","?日","","1?線/7?線トボンサン?1番出口から徒?10分 "
"28677","ja","ソウォルギル","https://japanese.visitseoul.net/nature/sowol-gil-jp/JPP028658?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP028658"," 51-1, Namchang-dong, Jung-gu, Seoul, Korea ","04528 3, Sowol-ro, Jung-gu, Seoul, Korea (남창동, 에티버스타워) ","","","","","",""
"2275","ko","노원우주학교","https://korean.visitseoul.net/nature/영어과학공원/KOP002275?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002275","139-863 서울 노원구 중계동 507-1 노원우주학교","01779 서울 노원구 동일로 동일로 205길 13 노원우주학교 ","02-971-6232","https://www.nowoncosmos.or.kr/","일반관람 09:30~17:30 천문대 야간관측 금요일, 토,일요일 19:30~21:00 (하절기 20:00~21:30)","","교육센터, 과학관 - 매주 월요일 휴무 공원은 휴무일 없음.","7호선 중계역 4번 출구 400미터  7호선 하계역 6번 출구 400미터  "
"2208","zh-CN","波拉梅公?","https://chinese.visitseoul.net/nature/波拉梅公?/CNP002189?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP002189","156-849 首?市?雀?新大方洞 ","07062 首?特?市?雀?新大方洞395?（汝矣大方路20街33?） ","+82-2-2181-1114","http://parks.seoul.go.kr/template/sub/boramae.do","24小??放","","","7?? 波拉美站2?出口出?后，步行?15分?    2?? 新大方站4?出口出?后，步行?10分?  "
"37138","zh-CN","一字山香草天文公?","https://chinese.visitseoul.net/nature/一字山香草天文公?/CNP037130?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP037130"," 首?江??遁村洞山86 ","134-060 首?江??遁村洞山86 ","","http://cafe.daum.net/herbparks/","","","",""
"29472","en","Baebongsan Neighborhood Park","https://english.visitseoul.net/nature/Baebongsan-Neighborhood-Park/ENP029459?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP029459"," San 32-20, Jeonnong-dong, Dongdaemun-gu, Seoul ","02509 22, Hancheon-ro 43-gil, Dongdaemun-gu, Seoul ","+82-2-2127-4398","","","","",""
"16344","ja","ナクサン(駱山)公園夜景","https://japanese.visitseoul.net/nature/駱山公園夜景/JPP016320?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016320"," 2-10, mountain, Dongsung-dong, Jongno-gu, Seoul, Korea ","03085 41, Naksan-gil, Jongno-gu, Seoul, Korea (동숭동) ","+82-2-743-7985","http://parks.seoul.go.kr/template/sub/naksan.do","","","",""
"16456","zh-TW","北岳山夜景","https://tchinese.visitseoul.net/nature/北岳山夜景-TC/TCP016324?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP016324"," 6-17, mountain, Pyeongchang-dong, Jongno-gu, Seoul, Korea ","03010 267, Bugaksan-ro, Jongno-gu, Seoul, Korea (평창동, 북악팔각정) ","","","","","",""
"3797","ja","ペガクサン(白岳山)（ソウルハニャン(漢陽)都城）","https://japanese.visitseoul.net/nature/baegaksan-mountain-hanyangdoseong-the-seoul-city-wall-jp/JPP003796?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP003796","110-030 ソウル市鍾路??雲洞 山1-1番地","03048 ソウル市チョンノ(鍾路)?チャンイムンロ42 (?雲洞)","+82-2-730-9924","https://www.chf.or.kr/cms/content/view/849","3月?4月/9月?10月 7:00-18:00（入山は16:00まで） 5月?8月 7:00-19:00（入山は17:00まで） 11月?2月 9:00-17:00（入山は15:00まで）","","","地下?3?線「キョンボックン(政府ソウル??)」?3番出口から0212番、1020番、7022番のバスに?り「チャハムンゴゲ」で下車徒?5分 地下?3?線「アングク」?2番出口から02番のバスに?り終点で下車 地下?4?線「ヘファ」?1番出口から08番バスに?り終点で下車"
"24107","zh-CN","江西?地生?公?","https://chinese.visitseoul.net/nature/江西?地生?公?/CNP001411?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP001411"," 首?市江西?傍花洞47  ","07518 首?市江西??川路27街279-23 ","+82-2-3780-0621","","","","","5?? 傍花站1、2?出口步行25分? "
"42914","ko","찬바람이 쌩쌩 부는 겨울,  찜질방 데이트","","  ","  ","","","","","",""
"15167","en","Hangang River","https://english.visitseoul.net/nature/HangangRiver/ENP015060?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP015060"," Yeouido-dong, Yeongdeungpo-gu, Seoul "," 68, Yeouigongwon-ro, Yeongdeungpo-gu, Seoul ","","","","","","* Subway Line 5, Yeouinaru Station, Exit 1 * Subway Lines 5 & 9, Yeouido Station, Exit 3"
"3012","zh-TW","落星垈公園","https://tchinese.visitseoul.net/nature/落星垈公園/TCP003008?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP003008","151-050 首爾冠岳區奉天洞 228","151-050 首爾市冠岳區落星垈路77 ","+82-2-879-6519","http://www.gwanak.go.kr/site/gwanak/05/10503010100002016051205.jsp","24小時開放","","","2號線落星垈站4號出口出來，加油站左轉後在20公尺前方麵包店搭乘02號公車"
"16473","zh-TW","石村湖夜景","https://tchinese.visitseoul.net/nature/石村湖夜景-TC/TCP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP016328"," 首爾市松坡區蠶室洞47 ","05608 首爾市松坡區三學士路136 ","+86-2-412-0190","","24小時","","全年無休","地鐵2、8號線蠶室站2、11號出口"
"4399","ko","관악산","https://korean.visitseoul.net/nature/관악산/KOP004398?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP004398","151-019 서울 관악구 대학동 일대","151-019 서울특별시 관악구 대학동 일대 ","02-879-6521","http://www.gwanak.go.kr/site/gwanak/05/10503020100002016051205.jsp","","","","2호선 서울대입구역 "
"22600","ja","チョンウン(?雲)公園","https://japanese.visitseoul.net/nature/cheongun-park-jp/JPP003136?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP003136"," ソウル市鍾路??雲洞 3-55"," ソウル市チョンノ(鍾路)?チャンイムンロ119 (?雲洞)","","","","","","地下?3?線「キョンボックン(政府ソウル??)」?3番出口より1020番、0212番、7022番バスに?換"
"29458","ko","솔밭근린공원","https://korean.visitseoul.net/nature/솔밭근린공원/KOP029458?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP029458","142-892 서울 강북구 우이동 80 ","01007 서울 강북구 삼양로 561 (우이동, 솔밭공원 관리실및화장실) ","02-901-6936","https://www.gangbuk.go.kr/tour/contents.do?key=352","","","","우이신설선 4.19민주묘지역 2번 출구에서 279m"
"4402","en","Gwanaksan Mountain","https://english.visitseoul.net/nature/Gwanaksan-Mountain/ENP004398?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP004398","151-010 Sillim-dong, Gwanak-gu, Seoul ","08826 Daehak-dong, Gwanak-gu, Seoul ","+82-2-879-6521","http://www.gwanak.go.kr/site/eng/03/10301010000002016080206.jsp","Open 24 hours","","","Subway Line 2, Seoul Nat'l Univ. Station, Exit 3"
"31994","zh-CN","?得?","https://chinese.visitseoul.net/nature/?得?/CNP031922?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP031922","140-030 首?市?山?二村洞302-146 ","04427 首?市?山???路445 (二村洞) ","+82-2-749-4500","http://nodeul.org/","?外空?：24小??放 三月至十月: 星期二至星期五 10:00 - 21:00 (KST) / 周末及?假日 10:00 - 22:00 (KST) 十一月至二月: 星期二至星期日 10:00 - 20:00 (KST)","","","1???山站1?出口 4??新?山站3?出口 9???得站2?出口"
"37611","ja","チヤンサン(芝陽山)","https://japanese.visitseoul.net/nature/チヤンサン芝陽山/JPP037532?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP037532"," ソウル市ヤンチョン(陽川)?シヌォルドン(新月洞) ","08037 ソウル市ヤンチョン(陽川)?シヌォルドン(新月洞) ","","","","","",""
